acct,utc_date,num_courses_visited,total_minutes_visited,lessons_completed,projects_completed
0,09/01/2015,1,11.6793745,0,0
0,10/01/2015,2,37.28488733,0,0
0,11/01/2015,2,53.63374633,0,0
0,12/01/2015,1,33.48926967,0,0
0,13/01/2015,1,64.77967767,0,0
0,14/01/2015,1,151.6175768,1,0
0,15/01/2015,1,142.3959638,0,0
0,16/01/2015,0,0,0,0
0,17/01/2015,1,9.8495625,0,0
0,18/01/2015,1,38.330548,0,0
0,19/01/2015,1,98.3275675,1,0
0,20/01/2015,0,0,0,0
0,21/01/2015,0,0,0,0
0,22/01/2015,1,218.3096902,1,0
0,23/01/2015,1,280.7733192,1,0
0,24/01/2015,1,32.27602017,0,0
0,25/01/2015,1,65.467882,0,0
0,26/01/2015,1,74.806089,1,0
0,27/01/2015,1,199.5010495,1,0
0,28/01/2015,1,55.23495933,0,0
0,29/01/2015,1,212.6456687,1,0
0,30/01/2015,1,96.00371917,1,0
0,31/01/2015,1,94.333214,0,0
0,01/02/2015,1,40.564986,1,0
0,02/02/2015,2,75.525712,0,0
0,03/02/2015,1,147.728229,0,0
0,04/02/2015,1,38.52997017,1,0
0,05/02/2015,2,84.95653433,0,0
0,06/02/2015,1,101.3783303,1,0
0,07/02/2015,1,104.065235,1,0
0,08/02/2015,0,0,0,0
0,09/02/2015,1,102.0631568,0,0
0,10/02/2015,1,104.6797623,1,0
0,11/02/2015,1,401.115233,2,0
0,12/02/2015,1,75.988601,0,0
0,13/02/2015,1,29.54253767,1,0
0,14/02/2015,1,111.8835475,0,0
0,15/02/2015,0,0,0,0
0,16/02/2015,0,0,0,0
0,17/02/2015,0,0,0,0
0,18/02/2015,0,0,0,0
0,19/02/2015,0,0,0,0
0,20/02/2015,1,32.65054483,0,0
0,21/02/2015,1,62.90922533,0,0
0,22/02/2015,1,77.89106817,1,0
0,23/02/2015,1,149.8862248,0,0
0,24/02/2015,0,0,0,0
0,25/02/2015,1,148.0621588,1,0
0,26/02/2015,2,42.34054917,1,0
0,27/02/2015,2,32.479962,0,0
0,28/02/2015,0,0,0,0
0,01/03/2015,2,76.54511267,0,0
